ax,ay,az,gx,gy,gz,target
6.18,-1.13,7.77,0.27,-0.09,-0.0,IDLE
6.25,-0.69,7.81,0.23,-0.08,-0.02,IDLE
6.4,-0.38,7.93,0.28,-0.1,0.01,IDLE
6.5,-1.08,8.03,0.33,-0.11,0.02,IDLE
5.88,-1.0,8.31,0.27,-0.08,0.0,IDLE
5.66,-0.48,7.73,0.24,-0.05,-0.03,IDLE
6.23,-0.56,7.57,0.28,-0.08,0.0,IDLE
6.61,-1.33,8.1,0.31,-0.12,0.02,IDLE
6.25,-0.8,8.27,0.27,-0.1,0.0,IDLE
6.08,-0.42,7.95,0.25,-0.07,-0.03,IDLE
5.88,-0.5,7.77,0.29,-0.07,-0.0,IDLE
5.89,-1.52,8.07,0.29,-0.09,0.02,IDLE
6.29,-0.69,7.58,0.26,-0.09,0.0,IDLE
6.75,-0.15,7.35,0.27,-0.09,-0.03,IDLE
6.16,-0.86,8.1,0.29,-0.09,0.0,IDLE
5.7,-1.43,8.51,0.27,-0.08,0.02,IDLE
5.86,-0.39,7.64,0.27,-0.06,-0.01,IDLE
6.47,-0.42,7.15,0.28,-0.08,-0.02,IDLE
6.43,-1.01,7.94,0.28,-0.11,0.0,IDLE
6.22,-1.29,8.6,0.26,-0.11,0.02,IDLE
6.21,-0.39,7.64,0.3,-0.08,-0.0,IDLE
6.26,-0.49,7.33,0.3,-0.08,-0.02,IDLE
5.7,-1.17,8.0,0.27,-0.08,-0.01,IDLE
6.07,-1.13,8.04,0.25,-0.09,0.02,IDLE
6.82,-0.32,7.3,0.31,-0.11,0.0,IDLE
6.6,-0.73,7.82,0.3,-0.11,-0.01,IDLE
5.68,-1.15,8.5,0.25,-0.07,-0.01,IDLE
5.77,-0.67,7.89,0.25,-0.07,0.01,IDLE
6.27,-0.54,7.29,0.31,-0.09,0.0,IDLE
6.65,-0.89,7.6,0.29,-0.11,-0.01,IDLE
6.28,-1.05,8.15,0.24,-0.1,-0.01,IDLE
6.09,-0.56,8.18,0.26,-0.09,0.01,IDLE
6.1,-0.78,7.71,0.32,-0.09,0.01,IDLE
5.98,-0.99,7.77,0.28,-0.08,-0.01,IDLE
5.94,-1.0,7.82,0.23,-0.07,-0.02,IDLE
6.52,-0.44,7.61,0.27,-0.11,0.01,IDLE
6.56,-1.0,7.97,0.33,-0.12,0.02,IDLE
5.94,-0.94,8.3,0.28,-0.08,-0.01,IDLE
5.7,-0.62,7.88,0.24,-0.05,-0.03,IDLE
6.09,-0.59,7.62,0.28,-0.08,0.01,IDLE
6.31,-1.2,7.81,0.31,-0.11,0.02,IDLE
6.48,-0.87,7.94,0.27,-0.1,-0.01,IDLE
6.3,-0.45,8.02,0.25,-0.08,-0.02,IDLE
5.92,-0.56,7.98,0.29,-0.08,0.01,IDLE
5.75,-1.39,8.2,0.29,-0.08,0.02,IDLE
6.17,-0.71,7.58,0.27,-0.08,-0.01,IDLE
6.6,-0.38,7.25,0.26,-0.08,-0.02,IDLE
6.49,-0.74,7.82,0.29,-0.11,0.01,IDLE
5.94,-1.35,8.5,0.29,-0.09,0.02,IDLE
5.9,-0.55,7.72,0.27,-0.06,-0.01,IDLE
6.29,-0.31,7.14,0.27,-0.07,-0.02,IDLE
6.29,-1.02,7.88,0.28,-0.1,0.0,IDLE
6.29,-1.39,8.07,0.27,-0.11,0.02,IDLE
6.56,-0.45,7.66,0.28,-0.1,-0.0,IDLE
6.35,-0.31,7.67,0.29,-0.07,-0.02,IDLE
5.74,-1.13,8.07,0.27,-0.07,-0.01,IDLE
5.88,-1.15,8.19,0.25,-0.08,0.02,IDLE
6.73,-0.46,7.22,0.29,-0.1,0.0,IDLE
6.9,-0.44,7.29,0.29,-0.11,-0.02,IDLE
6.12,-1.13,8.39,0.27,-0.1,-0.0,IDLE
5.65,-1.02,8.47,0.25,-0.07,0.01,IDLE
6.14,-0.47,7.35,0.3,-0.08,0.0,IDLE
