ax,ay,az,gx,gy,gz,target
6.0,-0.4,8.24,0.26,-0.09,-0.03,MOV1
5.19,-0.49,8.65,0.25,-0.08,0.01,MOV1
5.37,-0.59,8.28,0.29,-0.08,0.02,MOV1
5.99,-0.36,7.72,0.3,-0.09,-0.0,MOV1
6.06,-0.45,7.97,0.26,-0.1,-0.02,MOV1
5.53,-0.41,8.55,0.25,-0.09,0.01,MOV1
5.61,-0.53,8.39,0.3,-0.09,0.03,MOV1
5.87,-0.37,7.98,0.31,-0.09,0.01,MOV1
5.62,-0.39,7.97,0.27,-0.08,-0.02,MOV1
5.44,-0.62,8.44,0.25,-0.09,0.03,MOV1
5.77,-0.55,8.29,0.32,-0.11,0.05,MOV1
6.06,-0.4,8.08,0.34,-0.12,0.05,MOV1
5.7,-0.29,8.26,0.3,-0.09,0.01,MOV1
4.98,-0.64,8.65,0.29,-0.09,0.07,MOV1
5.38,-0.69,8.26,0.36,-0.12,0.12,MOV1
6.23,-0.34,7.74,0.37,-0.13,0.09,MOV1
5.96,-0.28,8.11,0.34,-0.12,0.07,MOV1
5.18,-0.58,8.78,0.34,-0.12,0.14,MOV1
5.43,-0.6,8.44,0.4,-0.13,0.18,MOV1
5.78,-0.28,7.89,0.41,-0.13,0.15,MOV1
5.84,-0.37,7.87,0.38,-0.13,0.14,MOV1
5.57,-0.58,8.52,0.37,-0.14,0.2,MOV1
5.73,-0.59,8.4,0.43,-0.15,0.23,MOV1
6.02,-0.28,7.94,0.44,-0.13,0.2,MOV1
5.76,-0.26,8.12,0.4,-0.11,0.16,MOV1
5.23,-0.65,8.49,0.38,-0.11,0.22,MOV1
5.86,-0.64,8.11,0.44,-0.13,0.25,MOV1
6.51,-0.22,7.83,0.44,-0.14,0.2,MOV1
5.95,-0.22,8.18,0.39,-0.11,0.17,MOV1
5.21,-0.56,8.6,0.38,-0.1,0.21,MOV1
5.53,-0.59,8.34,0.43,-0.11,0.23,MOV1
6.08,-0.25,7.7,0.43,-0.11,0.19,MOV1
6.11,-0.27,7.81,0.38,-0.11,0.16,MOV1
5.7,-0.56,8.53,0.37,-0.12,0.21,MOV1
5.64,-0.61,8.43,0.43,-0.12,0.23,MOV1
5.94,-0.25,7.85,0.42,-0.1,0.18,MOV1
5.65,-0.21,7.93,0.38,-0.09,0.15,MOV1
5.5,-0.72,8.49,0.37,-0.11,0.21,MOV1
5.94,-0.61,8.25,0.43,-0.13,0.24,MOV1
6.18,-0.19,7.99,0.43,-0.11,0.19,MOV1
5.72,-0.19,8.14,0.38,-0.09,0.16,MOV1
5.21,-0.7,8.59,0.37,-0.1,0.21,MOV1
5.47,-0.66,8.36,0.43,-0.11,0.24,MOV1
6.1,-0.33,7.79,0.43,-0.11,0.19,MOV1
6.14,-0.13,7.93,0.39,-0.11,0.17,MOV1
5.55,-0.72,8.69,0.39,-0.12,0.23,MOV1
5.43,-0.71,8.51,0.44,-0.12,0.25,MOV1
5.64,-0.24,7.98,0.43,-0.1,0.2,MOV1
5.78,-0.13,7.68,0.39,-0.1,0.16,MOV1
5.88,-0.84,8.43,0.4,-0.14,0.23,MOV1
5.88,-0.72,8.53,0.44,-0.15,0.26,MOV1
5.84,-0.23,8.09,0.43,-0.11,0.2,MOV1
