ax,ay,az,gx,gy,gz,target
6.22,-0.22,7.53,0.24,-0.06,0.07,ANOM1
6.44,0.0,7.27,0.2,-0.06,0.04,ANOM1
6.43,-1.11,8.18,0.2,-0.11,0.09,ANOM1
6.13,-0.82,8.29,0.21,-0.08,0.09,ANOM1
6.09,-0.73,7.74,0.2,-0.04,0.03,ANOM1
5.97,-0.68,7.44,0.2,-0.05,0.03,ANOM1
6.11,-1.87,8.13,0.18,-0.08,0.06,ANOM1
5.87,-1.77,8.17,0.22,-0.08,0.07,ANOM1
6.55,-1.46,7.58,0.25,-0.07,0.04,ANOM1
6.02,-1.57,7.99,0.26,-0.06,0.02,ANOM1
5.32,-2.37,8.49,0.27,-0.07,0.06,ANOM1
5.41,-2.21,8.25,0.32,-0.07,0.07,ANOM1
6.0,-2.0,7.67,0.38,-0.09,0.06,ANOM1
6.44,-1.64,7.75,0.4,-0.12,0.05,ANOM1
5.72,-2.23,8.51,0.36,-0.12,0.05,ANOM1
5.59,-1.79,8.4,0.4,-0.11,0.07,ANOM1
6.45,-1.39,7.47,0.43,-0.11,0.02,ANOM1
6.35,-1.12,7.41,0.39,-0.11,-0.04,ANOM1
6.03,-1.49,8.19,0.36,-0.11,-0.02,ANOM1
6.22,-0.87,8.07,0.38,-0.09,-0.04,ANOM1
6.35,-0.52,7.86,0.41,-0.09,-0.08,ANOM1
5.95,-0.18,7.96,0.38,-0.09,-0.11,ANOM1
5.43,-0.31,8.18,0.29,-0.09,-0.11,ANOM1
5.87,0.04,7.89,0.33,-0.11,-0.08,ANOM1
6.91,0.46,7.35,0.33,-0.13,-0.08,ANOM1
6.62,0.34,7.82,0.27,-0.11,-0.11,ANOM1
5.85,0.4,8.35,0.24,-0.09,-0.06,ANOM1
5.74,0.36,8.12,0.26,-0.07,-0.04,ANOM1
6.17,0.34,7.65,0.28,-0.1,-0.02,ANOM1
6.52,0.35,7.52,0.24,-0.11,-0.02,ANOM1
6.15,0.33,8.03,0.2,-0.11,0.01,ANOM1
6.26,0.2,8.08,0.23,-0.1,0.07,ANOM1
6.39,-0.03,7.8,0.24,-0.1,0.08,ANOM1
6.01,-0.12,7.73,0.2,-0.08,0.07,ANOM1
5.91,-0.29,7.77,0.16,-0.08,0.09,ANOM1
6.49,-0.47,7.68,0.19,-0.1,0.1,ANOM1
6.79,-0.88,7.92,0.21,-0.12,0.11,ANOM1
6.18,-0.83,7.99,0.18,-0.08,0.07,ANOM1
5.66,-0.96,8.09,0.13,-0.05,0.06,ANOM1
6.11,-1.12,7.7,0.18,-0.07,0.08,ANOM1
6.56,-1.54,7.65,0.19,-0.1,0.08,ANOM1
6.34,-1.56,7.97,0.16,-0.09,0.04,ANOM1
6.08,-1.23,7.81,0.14,-0.06,0.04,ANOM1
5.95,-1.73,7.92,0.18,-0.06,0.07,ANOM1
6.12,-2.32,8.06,0.23,-0.08,0.07,ANOM1
6.09,-2.1,7.81,0.21,-0.05,0.02,ANOM1
6.18,-1.92,7.79,0.23,-0.05,0.01,ANOM1
6.19,-2.36,8.12,0.31,-0.08,0.04,ANOM1
5.63,-2.51,8.56,0.35,-0.07,0.03,ANOM1
5.57,-1.93,7.93,0.37,-0.05,-0.02,ANOM1
5.63,-1.57,7.76,0.35,-0.06,-0.04,ANOM1
5.85,-2.08,7.91,0.38,-0.1,-0.01,ANOM1
6.11,-1.98,8.17,0.4,-0.1,-0.02,ANOM1
6.34,-1.49,7.91,0.38,-0.08,-0.09,ANOM1
5.95,-0.68,7.82,0.38,-0.06,-0.13,ANOM1
5.56,-1.58,8.32,0.38,-0.07,-0.12,ANOM1
5.48,-1.09,8.3,0.38,-0.07,-0.13,ANOM1
6.11,-0.39,7.49,0.38,-0.07,-0.17,ANOM1
6.22,0.24,7.58,0.35,-0.09,-0.17,ANOM1
5.79,-0.61,8.65,0.32,-0.1,-0.11,ANOM1
5.26,0.05,8.45,0.34,-0.09,-0.07,ANOM1
5.76,0.33,7.85,0.34,-0.08,-0.09,ANOM1
5.82,0.63,7.65,0.33,-0.1,-0.08,ANOM1
5.82,-0.33,8.49,0.31,-0.14,-0.0,ANOM1
6.02,0.47,8.11,0.33,-0.14,0.01,ANOM1
6.39,0.66,7.61,0.33,-0.13,0.01,ANOM1
6.13,0.69,7.71,0.29,-0.11,0.01,ANOM1
5.64,-0.21,8.27,0.22,-0.11,0.06,ANOM1
5.8,0.52,7.86,0.23,-0.1,0.08,ANOM1
7.0,0.28,7.12,0.24,-0.11,0.05,ANOM1
6.76,0.08,7.75,0.2,-0.13,0.04,ANOM1
5.86,-0.67,8.49,0.15,-0.1,0.07,ANOM1
5.78,-0.02,7.81,0.19,-0.07,0.06,ANOM1
6.7,-0.5,7.08,0.21,-0.09,0.05,ANOM1
6.75,-0.88,7.3,0.16,-0.1,0.05,ANOM1
6.15,-1.58,8.19,0.12,-0.1,0.08,ANOM1
6.11,-1.1,7.71,0.18,-0.07,0.1,ANOM1
6.56,-1.69,7.52,0.22,-0.08,0.08,ANOM1
5.99,-1.9,7.87,0.23,-0.08,0.06,ANOM1
5.7,-2.18,8.3,0.21,-0.07,0.08,ANOM1
6.05,-1.85,7.93,0.29,-0.08,0.09,ANOM1
6.71,-1.93,7.54,0.35,-0.11,0.08,ANOM1
6.19,-1.96,8.14,0.31,-0.09,0.04,ANOM1
5.51,-1.73,8.25,0.27,-0.05,0.03,ANOM1
6.02,-1.7,7.77,0.32,-0.06,0.03,ANOM1
6.77,-1.91,7.7,0.35,-0.1,0.01,ANOM1
6.35,-1.47,7.88,0.33,-0.09,-0.06,ANOM1
5.77,-0.88,8.18,0.29,-0.06,-0.09,ANOM1
6.04,-0.77,7.9,0.35,-0.06,-0.09,ANOM1
6.04,-1.2,8.05,0.34,-0.09,-0.08,ANOM1
5.83,-0.72,7.86,0.29,-0.06,-0.12,ANOM1
5.84,-0.05,7.72,0.25,-0.05,-0.11,ANOM1
6.26,-0.46,7.81,0.32,-0.09,-0.07,ANOM1
6.22,-0.9,8.35,0.31,-0.11,-0.03,ANOM1
5.5,-0.48,8.3,0.29,-0.07,-0.08,ANOM1
5.43,0.31,7.72,0.28,-0.07,-0.06,ANOM1
6.18,-0.68,7.77,0.34,-0.12,-0.01,ANOM1
6.19,-0.53,8.17,0.32,-0.15,0.03,ANOM1
6.14,-0.16,8.0,0.28,-0.11,-0.01,ANOM1
5.94,0.54,7.81,0.26,-0.09,0.0,ANOM1
6.09,-0.71,8.1,0.29,-0.11,0.05,ANOM1
5.77,-0.58,8.2,0.25,-0.11,0.06,ANOM1
6.2,-0.3,7.61,0.24,-0.09,0.0,ANOM1
6.58,0.33,7.4,0.24,-0.11,-0.01,ANOM1
