ax,ay,az,gx,gy,gz,target
6.51,-0.59,7.87,0.31,-0.11,0.01,IDLE1
6.01,-0.86,8.68,0.29,-0.14,0.04,IDLE1
5.16,-0.37,8.49,0.26,-0.06,-0.03,IDLE1
5.18,0.25,8.15,0.24,-0.04,-0.03,IDLE1
6.03,-0.85,7.89,0.3,-0.1,0.01,IDLE1
5.98,-0.9,8.33,0.28,-0.14,0.04,IDLE1
5.7,-0.25,8.29,0.26,-0.09,-0.02,IDLE1
5.75,0.31,8.07,0.26,-0.07,-0.03,IDLE1
5.79,-1.15,8.46,0.29,-0.1,0.02,IDLE1
5.34,-0.7,8.74,0.27,-0.1,0.04,IDLE1
5.42,-0.34,7.86,0.27,-0.06,-0.03,IDLE1
6.21,0.14,7.51,0.27,-0.08,-0.03,IDLE1
6.26,-1.23,8.5,0.29,-0.13,0.03,IDLE1
5.22,-0.48,8.9,0.27,-0.1,0.04,IDLE1
5.42,-0.22,7.88,0.29,-0.05,-0.03,IDLE1
6.01,-0.0,7.52,0.27,-0.08,-0.03,IDLE1
5.97,-1.4,8.35,0.27,-0.12,0.03,IDLE1
5.6,-0.34,8.55,0.27,-0.11,0.03,IDLE1
6.09,-0.17,7.88,0.29,-0.07,-0.03,IDLE1
6.01,-0.06,8.02,0.28,-0.08,-0.03,IDLE1
5.34,-1.36,8.82,0.25,-0.1,0.02,IDLE1
5.12,-0.14,8.25,0.27,-0.07,0.01,IDLE1
6.18,-0.32,7.41,0.3,-0.07,-0.03,IDLE1
6.57,-0.17,7.79,0.29,-0.11,-0.02,IDLE1
5.54,-1.25,9.01,0.25,-0.11,0.03,IDLE1
4.97,0.04,8.51,0.27,-0.05,0.01,IDLE1
6.11,-0.31,7.47,0.31,-0.07,-0.02,IDLE1
6.27,-0.5,7.79,0.29,-0.11,-0.01,IDLE1
5.53,-1.18,8.73,0.24,-0.11,0.03,IDLE1
5.59,0.17,8.19,0.28,-0.07,0.01,IDLE1
6.44,-0.47,7.71,0.32,-0.09,-0.01,IDLE1
5.83,-0.52,8.3,0.28,-0.1,-0.01,IDLE1
4.95,-0.73,8.59,0.22,-0.07,0.01,IDLE1
5.8,0.06,7.74,0.29,-0.07,-0.0,IDLE1
6.85,-0.69,7.55,0.32,-0.12,0.0,IDLE1
6.11,-0.57,8.53,0.27,-0.12,-0.0,IDLE1
4.94,-0.38,8.91,0.22,-0.06,0.0,IDLE1
5.53,0.02,7.89,0.29,-0.05,-0.01,IDLE1
6.4,-1.03,7.78,0.31,-0.13,0.02,IDLE1
5.82,-0.61,8.32,0.26,-0.11,-0.0,IDLE1
5.43,-0.13,8.39,0.22,-0.07,-0.01,IDLE1
6.11,-0.14,7.93,0.31,-0.09,-0.0,IDLE1
6.09,-1.03,8.37,0.3,-0.13,0.03,IDLE1
5.19,-0.46,8.38,0.26,-0.07,-0.01,IDLE1
5.44,0.16,7.82,0.23,-0.05,-0.02,IDLE1
6.54,-0.61,7.91,0.31,-0.12,0.01,IDLE1
6.39,-1.03,8.47,0.29,-0.15,0.04,IDLE1
5.38,-0.38,8.65,0.26,-0.08,-0.02,IDLE1
5.29,0.32,8.03,0.25,-0.04,-0.03,IDLE1
6.04,-0.95,8.01,0.3,-0.1,0.01,IDLE1
5.77,-1.0,8.48,0.27,-0.13,0.04,IDLE1
5.75,-0.18,8.05,0.27,-0.08,-0.03,IDLE1
6.06,0.3,7.81,0.27,-0.07,-0.03,IDLE1
6.08,-1.16,8.46,0.3,-0.12,0.02,IDLE1
5.08,-0.74,8.95,0.27,-0.1,0.04,IDLE1
5.43,-0.08,7.66,0.28,-0.04,-0.04,IDLE1
6.41,0.07,7.35,0.28,-0.09,-0.03,IDLE1
6.2,-1.43,8.74,0.28,-0.14,0.03,IDLE1
5.06,-0.21,8.94,0.26,-0.08,0.03,IDLE1
5.62,-0.05,7.9,0.29,-0.05,-0.04,IDLE1
5.97,0.03,7.65,0.29,-0.08,-0.03,IDLE1
5.63,-1.59,8.72,0.26,-0.11,0.03,IDLE1
5.4,0.04,8.36,0.27,-0.08,0.02,IDLE1
6.44,-0.2,7.68,0.31,-0.08,-0.03,IDLE1
6.12,-0.28,8.17,0.29,-0.1,-0.02,IDLE1
5.27,-1.42,9.16,0.25,-0.1,0.03,IDLE1
4.89,0.16,8.32,0.27,-0.05,0.01,IDLE1
6.39,-0.48,7.33,0.31,-0.08,-0.02,IDLE1
6.43,-0.4,7.98,0.28,-0.12,-0.01,IDLE1
5.34,-0.95,8.99,0.23,-0.09,0.02,IDLE1
5.28,0.23,8.16,0.29,-0.06,-0.0,IDLE1
6.28,-0.74,7.67,0.31,-0.1,-0.0,IDLE1
5.7,-0.48,8.05,0.27,-0.1,-0.01,IDLE1
5.35,-0.74,8.53,0.22,-0.08,0.01,IDLE1
6.05,0.12,7.92,0.3,-0.08,0.0,IDLE1
6.49,-0.89,8.14,0.31,-0.12,0.01,IDLE1
5.43,-0.46,8.52,0.26,-0.08,-0.02,IDLE1
5.03,-0.25,8.26,0.23,-0.05,-0.01,IDLE1
5.75,-0.18,7.77,0.3,-0.07,-0.0,IDLE1
6.56,-0.99,8.01,0.3,-0.14,0.02,IDLE1
5.87,-0.38,8.47,0.26,-0.11,-0.01,IDLE1
5.3,0.0,8.37,0.24,-0.06,-0.01,IDLE1
5.79,-0.49,7.97,0.31,-0.08,0.01,IDLE1
